date	confirmed_num	cured_num	dead_num
2020-01-24	830.0	34.0	25.0
2020-01-25	1287.0	38.0	41.0
2020-01-26	1975.0	49.0	56.0
2020-01-27	2744.0	51.0	80.0
2020-01-28	4515.0	60.0	106.0
2020-01-29	5974.0	103.0	132.0
2020-01-30	7711.0	124.0	170.0
2020-01-31	9692.0	171.0	213.0
2020-02-01	11791.0	259.0	243.0
2020-02-02	14380.0	328.0	304.0
2020-02-03	17205.0	475.0	361.0
2020-02-04	20438.0	632.0	425.0
2020-02-05	24324.0	892.0	490.0
2020-02-06	28018.0	1153.0	563.0
2020-02-07	31161.0	1540.0	636.0
2020-02-08	34546.0	2050.0	722.0
2020-02-09	37198.0	2649.0	811.0
2020-02-10	40171.0	3281.0	908.0
2020-02-11	42638.0	3996.0	1016.0
2020-02-12	44653.0	4740.0	1113.0
2020-02-13	59804.0	5911.0	1367.0
2020-02-14	63851.0	6723.0	1380.0
2020-02-15	66492.0	8096.0	1523.0
2020-02-16	68500.0	9419.0	1665.0
2020-02-17	70548.0	10844.0	1770.0
2020-02-18	72436.0	12552.0	1868.0
2020-02-19	74185.0	14376.0	2004.0
2020-02-20	74576.0	16155.0	2118.0
2020-02-21	75465.0	18264.0	2236.0
2020-02-22	76288.0	20659.0	2345.0
2020-02-23	76936.0	22888.0	2442.0
2020-02-24	77150.0	24734.0	2592.0
2020-02-25	77658.0	27323.0	2663.0
2020-02-26	78064.0	29745.0	2715.0
2020-02-27	78497.0	32495.0	2744.0
2020-02-28	78824.0	36117.0	2788.0
2020-02-29	79251.0	39002.0	2835.0
2020-03-01	79824.0	41625.0	2870.0
2020-03-02	80026.0	44462.0	2912.0
2020-03-03	80151.0	47204.0	2943.0
2020-03-04	80270.0	49856.0	2981.0
2020-03-05	80409.0	52045.0	3012.0
2020-03-06	80552.0	53726.0	3042.0
2020-03-07	80651.0	55404.0	3070.0
2020-03-08	80695.0	57065.0	3097.0
2020-03-09	80735.0	58600.0	3119.0
2020-03-10	80754.0	59897.0	3136.0
